"filename", "language", "Java Properties", "MS SQL", "Java", "XML", "HTML", "PostCSS", "comment", "blank", "total"
"c:\academia\src\Task-List\src\main\java\com\example\todo\TodoApplication.java", "Java", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\academia\src\Task-List\src\main\java\com\example\todo\aop\AopTraceEntry.java", "Java", 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\academia\src\Task-List\src\main\java\com\example\todo\aop\AopTraceStore.java", "Java", 0, 0, 33, 0, 0, 0, 0, 7, 40
"c:\academia\src\Task-List\src\main\java\com\example\todo\aop\LoggingAspect.java", "Java", 0, 0, 42, 0, 0, 0, 0, 8, 50
"c:\academia\src\Task-List\src\main\java\com\example\todo\aop\PerformanceAspect.java", "Java", 0, 0, 32, 0, 0, 0, 0, 6, 38
"c:\academia\src\Task-List\src\main\java\com\example\todo\api\ApiResponse.java", "Java", 0, 0, 37, 0, 0, 0, 0, 12, 49
"c:\academia\src\Task-List\src\main\java\com\example\todo\audit\AuditAspect.java", "Java", 0, 0, 140, 0, 0, 0, 0, 10, 150
"c:\academia\src\Task-List\src\main\java\com\example\todo\audit\Auditable.java", "Java", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\academia\src\Task-List\src\main\java\com\example\todo\config\AsyncConfig.java", "Java", 0, 0, 44, 0, 0, 0, 0, 7, 51
"c:\academia\src\Task-List\src\main\java\com\example\todo\config\PasswordResetEnforcementFilter.java", "Java", 0, 0, 55, 0, 0, 0, 0, 9, 64
"c:\academia\src\Task-List\src\main\java\com\example\todo\config\SecurityConfig.java", "Java", 0, 0, 50, 0, 0, 0, 0, 7, 57
"c:\academia\src\Task-List\src\main\java\com\example\todo\config\UserDataInitializer.java", "Java", 0, 0, 38, 0, 0, 0, 0, 4, 42
"c:\academia\src\Task-List\src\main\java\com\example\todo\config\WebConfig.java", "Java", 0, 0, 54, 0, 0, 0, 0, 8, 62
"c:\academia\src\Task-List\src\main\java\com\example\todo\controller\AdminAuditLogController.java", "Java", 0, 0, 74, 0, 0, 0, 0, 5, 79
"c:\academia\src\Task-List\src\main\java\com\example\todo\controller\AdminController.java", "Java", 0, 0, 44, 0, 0, 0, 0, 6, 50
"c:\academia\src\Task-List\src\main\java\com\example\todo\controller\AdminGroupController.java", "Java", 0, 0, 103, 0, 0, 0, 0, 8, 111
"c:\academia\src\Task-List\src\main\java\com\example\todo\controller\AdminMailSettingsController.java", "Java", 0, 0, 57, 0, 0, 0, 0, 7, 64
"c:\academia\src\Task-List\src\main\java\com\example\todo\controller\AdminUserController.java", "Java", 0, 0, 147, 0, 0, 0, 0, 19, 166
"c:\academia\src\Task-List\src\main\java\com\example\todo\controller\GanttController.java", "Java", 0, 0, 91, 0, 0, 0, 0, 9, 100
"c:\academia\src\Task-List\src\main\java\com\example\todo\controller\LoginController.java", "Java", 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\academia\src\Task-List\src\main\java\com\example\todo\controller\PasswordReissueController.java", "Java", 0, 0, 63, 0, 0, 0, 0, 10, 73
"c:\academia\src\Task-List\src\main\java\com\example\todo\controller\PasswordResetController.java", "Java", 0, 0, 67, 0, 0, 0, 0, 12, 79
"c:\academia\src\Task-List\src\main\java\com\example\todo\controller\TodoApiController.java", "Java", 0, 0, 108, 0, 0, 0, 0, 11, 119
"c:\academia\src\Task-List\src\main\java\com\example\todo\controller\TodoController.java", "Java", 0, 0, 483, 0, 0, 0, 224, 34, 741
"c:\academia\src\Task-List\src\main\java\com\example\todo\controller\package-info.java", "Java", 0, 0, 1, 0, 0, 0, 6, 2, 9
"c:\academia\src\Task-List\src\main\java\com\example\todo\dto\MonthlyProgressSummary.java", "Java", 0, 0, 38, 0, 0, 0, 0, 12, 50
"c:\academia\src\Task-List\src\main\java\com\example\todo\dto\UserTaskSummary.java", "Java", 0, 0, 31, 0, 0, 0, 0, 10, 41
"c:\academia\src\Task-List\src\main\java\com\example\todo\entity\AppUser.java", "Java", 0, 0, 69, 0, 0, 0, 0, 23, 92
"c:\academia\src\Task-List\src\main\java\com\example\todo\entity\AuditLog.java", "Java", 0, 0, 92, 0, 0, 0, 0, 30, 122
"c:\academia\src\Task-List\src\main\java\com\example\todo\entity\Category.java", "Java", 0, 0, 36, 0, 0, 0, 0, 11, 47
"c:\academia\src\Task-List\src\main\java\com\example\todo\entity\MailSettings.java", "Java", 0, 0, 50, 0, 0, 0, 0, 17, 67
"c:\academia\src\Task-List\src\main\java\com\example\todo\entity\Priority.java", "Java", 0, 0, 13, 0, 0, 0, 0, 5, 18
"c:\academia\src\Task-List\src\main\java\com\example\todo\entity\Status.java", "Java", 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\academia\src\Task-List\src\main\java\com\example\todo\entity\Todo.java", "Java", 0, 0, 175, 0, 0, 0, 198, 58, 431
"c:\academia\src\Task-List\src\main\java\com\example\todo\entity\TodoAttachment.java", "Java", 0, 0, 53, 0, 0, 0, 0, 17, 70
"c:\academia\src\Task-List\src\main\java\com\example\todo\entity\TodoHistory.java", "Java", 0, 0, 60, 0, 0, 0, 0, 18, 78
"c:\academia\src\Task-List\src\main\java\com\example\todo\entity\package-info.java", "Java", 0, 0, 1, 0, 0, 0, 6, 2, 9
"c:\academia\src\Task-List\src\main\java\com\example\todo\exception\BusinessException.java", "Java", 0, 0, 11, 0, 0, 0, 0, 4, 15
"c:\academia\src\Task-List\src\main\java\com\example\todo\exception\ErrorResponse.java", "Java", 0, 0, 51, 0, 0, 0, 0, 16, 67
"c:\academia\src\Task-List\src\main\java\com\example\todo\exception\GlobalExceptionHandler.java", "Java", 0, 0, 48, 0, 0, 0, 0, 7, 55
"c:\academia\src\Task-List\src\main\java\com\example\todo\exception\RestExceptionHandler.java", "Java", 0, 0, 49, 0, 0, 0, 0, 8, 57
"c:\academia\src\Task-List\src\main\java\com\example\todo\exception\TodoNotFoundException.java", "Java", 0, 0, 11, 0, 0, 0, 0, 4, 15
